w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
118.9,220,2.2882,-0.045098
119,220,2.288,-0.045099
119.1,220,2.2879,-0.045051
119.2,220,2.2878,-0.045051
119.3,220,2.2877,-0.045053
119.4,220,2.2875,-0.045052
119.5,220,2.2874,-0.045054
119.6,220,2.2873,-0.045045
119.7,220,2.2871,-0.045098
119.8,220,2.287,-0.045102
119.9,220,2.2869,-0.04509
120,220,2.2868,-0.045088
120.1,220,2.2866,-0.045107
120.2,220,2.2865,-0.045108
120.3,220,2.2864,-0.045105
120.4,220,2.2862,-0.045047
120.5,220,2.2861,-0.04505
120.6,220,2.286,-0.04505
120.7,220,2.2859,-0.045054
120.8,220,2.2858,-0.045051
120.9,220,2.2856,-0.045051
121,220,2.2854,-0.045103
121.1,220,2.2853,-0.045118
121.2,220,2.2852,-0.045117
121.3,220,2.2851,-0.045106
121.4,220,2.2849,-0.045107
121.5,220,2.2848,-0.045101
121.6,220,2.2847,-0.045101
121.7,220,2.2846,-0.045058
121.8,220,2.2845,-0.045056
121.9,220,2.2843,-0.045131
122,220,2.2842,-0.045146
122.1,220,2.284,-0.045144
122.2,220,2.2839,-0.045143
122.3,220,2.2838,-0.045144
122.4,220,2.2837,-0.045145
122.5,220,2.2836,-0.045134
122.6,220,2.2834,-0.045121
122.7,220,2.2833,-0.045135
122.8,220,2.2832,-0.045136
122.9,220,2.2831,-0.045136
123,220,2.2829,-0.045137
123.1,220,2.2828,-0.045147
123.2,220,2.2827,-0.045147
123.3,220,2.2826,-0.045147
123.4,220,2.2824,-0.045146
123.5,220,2.2823,-0.045145
123.6,220,2.2823,-0.045095
123.7,220,2.2821,-0.045144
123.8,220,2.282,-0.045145
123.9,220,2.2818,-0.045154
124,220,2.2817,-0.045154
124.1,220,2.2816,-0.045148
124.2,220,2.2815,-0.045149
124.3,220,2.2813,-0.045152
124.4,220,2.2812,-0.045152
124.5,220,2.2811,-0.045152
124.6,220,2.281,-0.045148
124.7,220,2.2809,-0.045126
124.8,220,2.2808,-0.045128
124.9,220,2.2807,-0.045121
125,220,2.2805,-0.045118
125.1,220,2.2804,-0.045119
125.2,220,2.2803,-0.045117
125.3,220,2.2802,-0.045115
125.4,220,2.2801,-0.045056
125.5,220,2.28,-0.045107
125.6,220,2.2798,-0.045093
125.7,220,2.2795,-0.04508
125.8,220,2.2794,-0.045101
125.9,220,2.2793,-0.045102
126,220,2.2792,-0.045037
126.1,220,2.2791,-0.045034
126.2,220,2.2789,-0.045102
126.3,220,2.2788,-0.045097
126.4,220,2.2787,-0.045104
126.5,220,2.2786,-0.045054
126.6,220,2.2784,-0.045231
126.7,220,2.2782,-0.045224
126.8,220,2.2782,-0.045149
126.9,220,2.2781,-0.04515
127,220,2.2779,-0.045134
127.1,220,2.2778,-0.04512
127.2,220,2.2777,-0.04512
127.3,220,2.2775,-0.04512
127.4,220,2.2774,-0.045122
127.5,220,2.2773,-0.045124
127.6,220,2.2772,-0.04512
127.7,220,2.277,-0.045214
127.8,220,2.2769,-0.045212
127.9,220,2.2768,-0.045212
128,220,2.2767,-0.045212
128.1,220,2.2766,-0.04521
128.2,220,2.2765,-0.045214
128.3,220,2.2764,-0.045214
128.4,220,2.2762,-0.045219
128.5,220,2.2761,-0.045219
128.6,220,2.276,-0.045225
128.7,220,2.2759,-0.045224
128.8,220,2.2758,-0.045223
128.9,220,2.2757,-0.045218
129,220,2.2756,-0.045218
129.1,220,2.2755,-0.045219
129.2,220,2.2754,-0.045212
129.3,220,2.2752,-0.045212
129.4,220,2.2751,-0.045208
129.5,220,2.275,-0.045207
129.6,220,2.2749,-0.045207
129.7,220,2.2748,-0.045204
